,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
Alkyl Phtahlate-norm,,.970,15,,3,,N,N,34,600,,420,80,N,,ww,N,,Santicizer. Water sensitive. N2 blanket may
,Santicizer 711,,,,,,,,,,,,,,,,,,be required. No wall wash. Warm wash.
,N-Alkyl phthalate,,,,,,,,,,,,,,,,,,A mixture of Diepthyl Phthalate and Diundecyl
,,,,,,,,,,,,,,,,,,,phthalate. Not listed in IMO code.
"Alkyl pyridine, low boiling",,.940,15,.00854,,,,Y,9,165,,49,AMB,N,N,brown,SLI,,Toxic and  corrosive. Not yet classified.
,,,,,,,,,,,,,,,,,,,"Clean with cold water first, than hot water and"
,,,,,,,,,,,,,,,,,,,steam.
"Alkylated-n, aniline",,.958,20,,3,2g, ,Y,9,250,-50,107,40,N,N,white to,SLI,,Poisonous cargo. herbicide. Water white
,,,,,,,,,,,,,,,,brown,,,standard required. Cold wash followed by hot.
,,,,,,,,,,,,,,,,,,,Classified by USCG with Adiponnitrile as ref.
,,,,,,,,,,,,,,,,,,,cargo. Correct name: 2-Ethyl-6-Methyl-N-
,,,,,,,,,,,,,,,,, ,,(1-Methyl-2-methoxyethyl 1) Aniline. No IMO-code
Allyl alcohol 98%,,.850,20,.00064,2,2g,B,Y,15,97,-129,22,N,N,N,ww,Y,1098,Poisonous cargo. . W/w standard. Check USCG/
,Propen 1-01-2,,,,,,,,,,,,,,,,,,IMO requirements. Acid wash req. after fat/veg
,Vinyl carbinol,,,,,,,,,,,,,,,,,,oils. Cold wash.
Allyl chloride,,.940,15,.00133,2,2g,B,Y,15,45,-136,-32,N,N, ,ww,N,1100,Poisonous cargo. Check USCG/IMO req. N2
,,,,,,,,,,,,,,,,,,,"Blanket and purge, no steam or hot wash."
,,,,,,,,,,,,,,,,,,,Product decomposes in presence of water.
,,,,,,,,,,,,,,,,,,,NOTE: Dow does not accept zink coating.
Alpha Olefins,,,,,,,,,,,,,,,,,,,w/w Standard required. Normally no wallwash
,Alpha Olefins C-10,.740,,,3,2G,B,N,30,172,,27,38,N,,ww,N,,Avoid adjacent heat. only slightly soluble in
