,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
,Exxon Paraflow 201,.860,,,,,,N,33,,,,Y,,,d-red,,,
,Exxon  Paranox 12,.990,,,,,,N,33,,,,Y,,125,,,,
,Exxon  Paranox 15,1.100,,,,,,N,33,,,,Y,,100,light,,,
,Exxon  Paranox 351,1.040,,,,,,N,33,,,,Y,,140,drk,,,
,Exxon  Paranox 361,1.150,,,,,,N,33,,,,Y,,150,blk,,,
,Exxon  Paranox 43,.980,,,,,,N,33,,,,Y,,140,blk,,,
,Exxon  Paranox 52,1.100,,,,,,N,33,,,,Y,,180,drk,,,
,Exxon  Paranox 5257,.960,,,,,,N,33,,,,Y,,120,drk,,,
,Exxon  Paranox 578,,,,,,,N,33,,,,,,,,,,
,Exxon  Parapoid 30,1.070,,,,,,N,33,,25,225,Y,,100,drk,,,
,Exxon  Parapoid 48,1.040,,,,,,N,33,,25,225,,,,drk,,,
,Exxon Paratone N,.870,,,,,,N,33,,,,Y,,180,honey,,,
,Exxon Paratone 108,.890,,,,,,N,33,,,,Y,,180,honey,,,
,Exxon Paratone 210,.870,,,,,,N,33,,,,Y,,150,orange,,,
,Exxon Paratone 707,.840,,,,,,N,33,,,,Y,,180,amber,,,
,Lubrizol A-1140,1.000,,,3,,,N,33,,,,,,68,drk,,,
,Lubrizol A-803,1.100,,,3,,,N,33,,,,Y,,65,l.red,,,
,Lubrizol A-943,.980,,,3,,,N,33,,,,Y,,63,drk,,,
,Lubrizol Anglm 98A,1.025,15,.00068,3,,,N,33,,,,Y,16,38,d.red,,,
,Lubrizol Anglm 99,1.065,15,.00069,3,,,N,33,,,,Y,13,38,red,,,
,Lubrizol Con 58,1.125,15,.00064,3,,,N,33,,,,Y,60,70,red,,,
,Lubrizol G.A.  1244,1.030,15,.00064,3,,,N,33,,,,Y,57,66,d.red,,,
,Lubrizol G.A.  1254,1.081,15,.00074,3,,,N,33,,,,Y,38,49,red,,,
,Lubrizol G.A.  1310,.930,15,.00064,3,,,N,33,,,,Y,79,93,red,,,
,Lubrizol  pa99,,,,3,,,N,33,,,,Y,,,,,,
,Lubrizol  STK 1128,1.130,15,.00072,3,,,N,33,,,,Y,38,60,red,,,
,Lubrizol  STK 1255,.950,15,.00064,3,,,N,33,,,,Y,77,88,light,,,
,Lubrizol  STK 1261,1.080,15,.00081,3,,,N,33,,,,Y,57,68,red,,,
,Lubrizol  STK 1362,.970,15,.00076,3,,,N,33,,,,Y,52,66,red,,,
,Lubrizol  STK 1439,1.005,15,.00064,3,,,N,33,,,,Y,57,66,drk,,,
,Lubrizol  STK 1444,.995,15,.00068,3,,,N,33,,,,Y,57,71,light,,,
,Lubrizol  STK 1461,1.000,15,.00068,3,,,N,33,,,,Y,52,66,light,,,
,Lubrizol  STK 2358,,,,3,,,N,33,,,,Y,,,,,,
,Lubrizol  00058,1.000,,,3,,,N,33,,,,Y,,66,red,,,
,Lubrizol  00065,.965,15,.00076,3,,,N,33,,,,Y,52,66,red,,,
,Lubrizol  00074,1.140,15,.00064,3,,,N,33,,,,Y,50,66,l.red,,,
,Lubrizol  00078,1.220,15,.00072,3,,,N,33,,,,Y,49,66,,,,
,Lubrizol  00112,.980,15,.00068,3,,,N,33,,,,Y,49,60,drk,,,
,Lubrizol  00116,.980,15,.00068,3,,,N,33,,,,Y,54,66,red,,,
,Lubrizol  00142,.950,15,.00064,3,,,N,33,,,,Y,66,77,red,,,
,Lubrizol  00151,.988,15,.00067,3,,,N,33,,,,Y,52,66,red,,,
,Lubrizol  00282,1.000,,,3,,,N,33,,,,Y,,79,,,,
,Lubrizol  00284,1.120,,,3,,,N,33,,,,Y,,60,red,,,
,Lubrizol  00894,.935,15,.00073,3,,,N,33,,,,Y,85,99,red,,,
,Lubrizol  00910,.980,15,.0068,3,,,N,33,,,,Y,54,65,red,,,
,Lubrizol  00936,.935,15,.00064,3,,,N,33,,,,Y,79,93,l.red,,,
,Lubrizol  00961D,1.000,15,.00067,3,,,N,33,,,,Y,52,66,drk,,,
,Lubrizol  01161,.995,15,.00073,3,,,N,33,,,,Y,60,71,drk,,,
,Lubrizol  01191,.980,,,3,,,N,33,,,,Y,60,71,,,,
,Lubrizol  01261D,1.080,15,.00072,3,,,N,33,,,,Y,57,68,red,,,
,Lubrizol  01275,1.030,15,.00072,3,,,N,33,,,,Y,46,60,l.red,,,
,Lubrizol  01937,1.020,15,.00068,3,,,N,33,,,,Y,52,66,drk,,,
,Lubrizol  021,1.025,15,.00068,3,,,N,33,,,,Y,16,38,d.red,,,
,Lubrizol  02310,1.100,,,3,,,N,33,,,,Y,,65,red,,,
,Lubrizol  02760,.930,15,.00064,3,,,N,33,,,,Y,65,79,red,,,
,Lubrizol  02764,.925,15,.00068,3,,,N,33,,,,Y,54,66,d.red,,,
,Lubrizol  02912P,.935,15,..00064,3,,,N,33,,,,Y,79,93,d.red,,,
,Lubrizol  02950,.935,15,.00064,3,,,N,33,,,,Y,79,93,d.red,,,
,Lubrizol  02960P,.930,15,.00064,3,,,N,33,,,,Y,79,93,d.red,,,
,Lubrizol  02965,.950,15,.00064,3,,,N,33,,,,Y,79,93,drk,,,
,Lubrizol  02971,,,,3,,,,,,,,,,,,,,
,Lubrizol  03132,.880,15,,3,,,N,33,,,,Y,,82,light,,,
,Lubrizol  03140,.880,15,.00065,3,,,N,33,,,,Y,88,99,pale,,,
,Lubrizol  03172,.875,15,.00064,3,,,N,33,,,,Y,71,79,pale,,,
,Lubrizol  03327D,.980,15,.00068,3,,,N,33,,,,Y,49,60,drk,,,
,Lubrizol  03510D,.990,15,.00066,3,,,N,33,,,,Y,52,66,drk,,,
,Lubrizol  03511,.950,,,3,,,N,33,,,,Y,,65,l.red,,,
,Lubrizol  03513,.950,,,3,,,N,33,,,,Y,,65,pale,,,
,Lubrizol  03515D,.995,15,.00067,3,,,N,33,,,,Y,52,66,drk,,,
,Lubrizol  03521C,1.000,15,.00066,3,,,N,33,,,,Y,52,66,red,,,
,Lubrizol  03521E,1.000,15,.00066,3,,,N,33,,,,Y,52,66,red,,,
,Lubrizol  03558,1.000,15,.00066,3,,,N,33,,,,Y,60,68,,,,
,Lubrizol  03702,.910,15,.00064,3,,,N,33,,,,Y,85,99,light,,,
,Lubrizol  03715,.920,15,.00064,3,,,N,33,,,,Y,85,99,pale,,,
,Lubrizol  03826E,.980,15,.00065,3,,,N,33,,,,Y,54,66,red,,,
,Lubrizol  03839B,.985,15,.00064,3,,,N,33,,,,Y,66,77,drk,,,
,Lubrizol  03859A,.985,15,.00067,3,,,N,33,,,,Y,52,66,d.red,,,
,Lubrizol  04004,1.000,,,3,,,N,33,,,,Y,,65,,,,
,Lubrizol  04028D,1.030,15,.00064,3,,,N,33,,,,Y,57,66,d.red,,,
,Lubrizol  04082,1.005,15,.00068,3,,,N,33,,,,Y,54,66,drk,,,
,Lubrizol  04410,.960,,,3,,,N,33,,,,Y,,71,l.red,,,
,Lubrizol  04420C,1.010,15,.00068,3,,,N,33,,,,Y,57,66,red,,,
,Lubrizol  04420P,1.000,,,3,,,N,33,,,,Y,,65,red,,,
,Lubrizol  04431,1.005,15,.00064,3,,,N,33,,,,Y,49,57,,,,
,Lubrizol  04461D,1.015,15,.00069,3,,,N,33,,,,Y,54,66,d.red,,,
,Lubrizol  04462D,1.010,15,.00068,3,,,N,33,,,,Y,52,66,red,,,
,Lubrizol  04462P,1.010,15,.00068,3,,,N,33,,,,Y,52,60,red,,,
,Lubrizol  04476P,.985,15,.00064,3,,,N,33,,,,Y,57,66,d.red,,,
,Lubrizol  04533,1.040,15,.00070,3,,,N,33,,,,Y,49,60,d.red,,,
,Lubrizol  04549,1.080,15,.00074,3,,,N,33,,,,Y,38,49,red,,,
,Lubrizol  04575,1.000,15,.00064,3,,,N,33,,,,Y,52,60,red,,,
,Lubrizol  04575C,1.000,15,.00064,3,,,N,33,,,,Y,52,60,red,,,
,Lubrizol  04622,.990,15,.00064,3,,,N,33,,,,Y,54,60,red,,,
,Lubrizol  04720,.950,15,.00064,3,,,N,33,,,,Y,66,79,red,,,
,Lubrizol  04720A,.950,15,.00064,3,,,N,33,,,,Y,66,79,red,,,
,Lubrizol  05002,1.015,15,.00065,3,,,N,33,,,,Y,38,49,red,,,
,Lubrizol  06111,1.050,15,.00069,3,,,N,33,,,,Y,21,32,drk,,,
,Lubrizol  06117,1.030,15,.00069,3,,,N,33,,,,Y,10,38,drk,,,
,Lubrizol  06280,1.120,15,.00073,3,,,N,33,,,,38,10,38,d.red,,,
,Lubrizol  06401,.930,15,.00064,3,,,N,33,,,,Y,79,93,red,,,
,Lubrizol  06452,.960,15,.00064,3,,,N,33,,,,Y,77,88,drk,,,
,Lubrizol  06456,1.155,15,.00064,3,,,N,33,,,,Y,66,77,red,,,
,Lubrizol  06464,1.155,15,.00072,3,,,N,33,,,,Y,66,77,red,,,
,Lubrizol  06466,1.000,,,3,,,N,33,,,,Y,,60,red,,,
,Lubrizol  06606,.950,15,.00064,3,,,N,33,,,,Y,66,77,d.red,,,
,Lubrizol  06734D,.915,15,.00064,3,,,N,33,,,,Y,38,66,red,,,
,Lubrizol  07014,.855,15,.00064,3,,,N,33,,,,Y,107,121,,,,
,Lubrizol  07315,.880,,,3,,,N,33,,,,Y,,82,light,,,
,Lubrizol  07393,,,,3,,,N,33,,,,,,,,,,
,Lubrizol  08117,.905,15,.00064,3,,,N,33,,,,Y,N,N,d.red,,,
,Lubrizol  08119,.910,15,.00064,3,,,N,33,,,,Y,N,N,d.red,,,
,Lubrizol  08121,.931,15,.00064,3,,,N,33,,,,Y,N,N,pale,,,
,Lubrizol  08127,.870,15,.00068,3,,,N,33,,,,Y,N,38,,,,
,Lubrizol  08392,.910,15,.00064,3,,,N,33,,,,Y,85,99,pale,,,
,Lubrizol  08393,.900,15,,3,,,N,33,,,,Y,,82,pale,,,
,Lubrizol  08401,.920,15,.00064,3,,,N,33,,,,Y,85,99,pale,,,
,Lubrizol  09050,.817,15,.00073,3,,,N,33,,,,Y,N,N,white,,,
,Lubrizol  09270,.950,15,,3,,,N,33,,,,Y,,82,l.red,,,
,Lubrizol  09610,.990,15,,3,,,N,33,,,,Y,,65,light,,,
,Lubrizol  10095,,,,,,,,,,,,,,,,,,
,Lubrizol  10610,,,,,,,,,,,,,,,,,,
,Lubrizol  10640,1.150,15,.00072,3,,,N,33,,,,Y,60,71,light,,,
,Lubrizol 10665,1.000,15,,3,,,N,33,,,,Y,,65,,,,
,Lubrizol 10668,1.000,15,,3,,,N,33,,,,Y,,49,red,,,
,Lubrizol 10669,,,,,,,,,,,,,,,,,,
,Lubrizol 10695,1.145,15,.00072,3,,,N,33,,,,Y,52,66,red,,,
,Lubrizol 10696,1.220,15,.00072,3,,,N,33,,,,Y,49,66,d.red,,,
,Lubrizol 10699,1.145,15,.00072,3,,,N,33,,,,Y,52,66,d.red,,,
,Lubrizol 11295,1.220,15,.00067,3,,,N,33,,,,Y,27,38,red,,,
,Lubrizol  11625,,,,,,,,,,,,,,,,,,
,Lubrizol  11650,.930,15,.00068,3,,,N,33,,,,Y,82,93,"d,red",,,
,Lubrizol 12149,1.170,15,.00087,3,,,N,33,,,,Y,35,43,orge,,,
,Lubrizol 12159,1.180,15,.00087,3,,,N,33,,,,Y,32,49,pale,,,
,Lubrizol 12186,1.135,15,.00079,3,,,N,33,,,,Y,27,43,pale,,,
,Lubrizol 12189,,,,,,,,,,,,,,,,,,
,Lubrizol 12197,1.080,15,.00079,3,,,N,33,,,,Y,27,43,light,,,
,Lubrizol 12874,,,,,,,,,,,,,,,,,,
,Lubrizol 12888,1.060,15,.00064,3,,,N,33,,,,Y,54,66,drk,,,
,Lubrizol 12890,1.055,15,.00064,3,,,N,33,,,,Y,57,66,drk,,,
,Lubrizol 15610,1.110,15,.00072,3,,,N,33,,,,Y,10,38,pale,,,
,Lubrizol 15620,1.030,15,.00068,3,,,N,33,,,,Y,10,38,pale,,,
,Lubrizol 15625,1.080,15,.00070,3,,,N,33,,,,Y,10,38,lemon,,,
,Lubrizol 17109,.890,15,.00064,3,,,N,33,,,,Y,79,93,light,,,
,Lubrizol 17119,.895,15,.00064,3,,,N,33,,,,Y,79,93,white,,,
,Lubrizol 19807,.925,15,.00065,3,,,N,33,,,,Y,75,85,,,,
,Lubrizol 19808,,,,,,,,,,,,,,,,,,
,Lubrizol 19818,,,,,,,,,,,,,,,,,,
,Lubrizol 3775,,,,,,,,,,,,,,,,,,
,Lubrizol 400,,,,,,,,,,,,,,,,,,
,Lubrizol 4723B,,,,,,,,,,,,,,,,,,
,Lubrizol 4887,,,,,,,,,,,,,,,,,,
,Lubrizol 6830,,,,,,,,,,,,,,,,,,
,Lubrizol 73041,.880,15,.00064,3,,,N,33,,,,Y,88,99,,,,
,Lubrizol 73125,1.040,15,,3,,,N,33,,,,Y,,66,drk,,,
,Lubrizol 73315,.880,15,.00065,3,,,N,33,,,,Y,88,99,light,,,
,Lubrizol 73613,1.025,15,.00064,3,,,N,33,,,,Y,49,54,red,,,
,Lubrizol 74783,1.060,15,.00070,3,,,N,33,,,,Y,35,50,,,,
,Lubrizol 7574B,,,,,,,,,,,,,,,,,,
,Lubrizol 766040,1.040,15,,3,,,N,33,,,,Y,,60,drk,,,
,Lubrizol 76107,.950,15,,3,,,N,33,,,,Y,,66,red,,,
,Lubrizol 76117,1.055,15,,3,,,N,33,,,,Y,46,54,red,,,
,Lubrizol 76327,.925,15,.00068,3,,,N,33,,,,Y,66,77,red,,,
,Lubrizol 76427,.915,15,.00064,3,,,N,33,,,,Y,38,52,red,,,
,Lubrizol 76440,,,,,,,,,,,,,,,,,,
,Lubrizol 76717,.936,15,.00065,3,,,N,33,,,,Y,43,52,red,,,
,Lubrizol 77475,1.160,15,.00070,3,,,N,33,,,,Y,30,50,,,,
,Lubrizol 78002,1.000,15,,3,,,N,33,,,,Y,,27,red,,,
,Lubrizol 78004,1.065,15,.00069,3,,,N,33,,,,Y,13,38,light,,,
,Lubrizol 78008,,,,,,,,,,,,,,,,,,
,Lubrizol 7839,,,,,,,,,,,,,,,,,,
,Lubrizol 77908,,,,,,,,,,,,,,,,,,
,Mobil C-100/ADC 100,1.150,,,,,,N,33,,,,Y,,120,pale,,,
,Mobil Exa 401,.880,,,,,,N,33,,,,Y,,,,,,
,Mobil Parapoid 29,,,,,,,N,33,,,,Y,,150,,,,
,Mobil Parapoid 30,,,,,,,N,33,,,,Y,,,,,,
,Mobil Parapoid 35,,,,,,,N,33,,,,Y,,,,,,
,Mobil Parapoid 48,1.000,,,,,,N,33,,,,Y,,100,pale,,,
,Mobil Stk 414,,,,,,,N,33,,,,,,,,,,
,Mobil Sulf oil,1.000,,,,,,N,33,,,,Y,,180,o-rge,,,
,Orogil Phenate,1.100,,,3,,,N,33,,,,Y,,70,d.red,,,
,Shell AC45,.980,,,3,,,N,33,,,,Y,,38,brn,,,
,"Shell ADD ""E""",1.000,,,3,,,N,33,,,,Y,,60,,,,
,Shell ADD 190,.990,,,3,,N,N,33,,,,Y,,48,,,,
,Shell NTOC,.990,,,3,,,N,33,,,,Y,,140,,,,
,Shell 199,,,,,,,,,,,,,,,,,,
,Shell 383,,,,,,,,,,,,,,,,,,
,Shell 400,,,,,,,,,,,,,,,,,,
,Shell 416,,,,,,,,,,,,,,,,,,
,Shell 417,,,,,,,,,,,,,,,,,,
,Surpass Surchem 306,1.150,20,.00085,,,,N,33,,,,Y,,170,d.red,,,
,Texaco ADD 525,.820,,,3,,,N,33,,,,Y,,82,light,N,,
,Texaco POA 187/TC 7024,1.000,,,3,,,N,33,,,,Y,,65,v.drk,,,
,Texaco POA 187/TC 7856,.980,,,3,,,N,33,,,,Y,,65,drk,,,
,Texaco POA 187/TC 7876,.980,,,3,,,N,33,,,,Y,,65,drk,,,
,Texaco POA 187/TC 7956,1.000,,,3,,,N,33,,,,Y,,65,drk,,,
,Texaco POA 187/TC 7978,1.000,,,3,,,N,33,,,,Y,,65,,,,
,Texaco POA 188/TC 8549,.980,,,3,,,N,33,,,,Y,,65,drk,,,
,Texaco POA 188/TC 9680,.960,,,3,,,N,33,,,,Y,,65,drk,,,
,Texaco POA 188/TC 9827,.850,,,3,,,N,33,,,,Y,,65,o-rge,,,
,Texaco TLA 202,.900,,,3,,,N,33,,,,Y,,65,red,,,
,Texaco TLA 470,.950,,,3,,,N,33,,,,Y,,65,,,,
,Texaco TLA 500,,,,3,,,N,33,,,,Y,,,,,,
,TMKA 92/50,.900,,,3,,,N,33,,,,Y,,71,brn,,,
,Viscoplex 5847,.870,,,3,,,N,33,204,,232,Y,,82,amber,N,,
,Witco C-300,1.100,,,3,,,N,33,,,,Y,,76,reddish,,,
,Witco C-45,.950,,,3,,,N,33,,,,Y,,71,reddish,,,
,Witco DI-Petronate,.960,,,3,,,N,33,,,,Y,,60,reddish,,,
,Witco M-300,1.100,,,3,,,N,33,,,,Y,,82,reddish,,,
,Witco M-400,1.100,,,3,,,N,33,,,,Y,,82,reddish,,,
,Witco Saci 745,.960,,,3,,,N,33,,,,Y,,52,reddish,,,
,Witco Sulfonate oil,.980,,,3,,,N,33,,,,Y,,71,reddish,,,
LUBE OILS,,,,,,,,,,,,,,,,,,,Always check grade and get heating
,Arco Pale Oil 2000,.910,,,,,,,33,,,,,38,49,pale,,,instructions. HOT WASH. Use Stolt A or B 
,Arco  Tufflo Base Oil,.920,,,,,,N,33,,,,,38,38,white,,,for spots.
,Arco WOB-370,.880,,,,,,N,33,,,,,N,N,lili.w,,,
,Arco  1111,.910,,,,,,N,33,,,,,54,60,blk,,,
,Arco 1183,.920,,,,,,N,33,,,,,54,60,blk,,,
,Arco 1218,.860,,,,,,N,33,,,,,N,N,cream,,,
,Arco 1223,.880,,,,,,N,33,,,,,38,43,lt.red,,,
,Arco 1227,.900,,,,,,N,33,,,,,54,60,red,,,
,Arco 1600,.910,,,,,,N,33,,,,,N,N,psle,,,
,Arco 1617,.960,,,,,,N,33,,,,,54,60,d.red,,,
,Asiatic Code 69961,.880,,,,,,N,33,,,,,52,52,ww,,,
,Asiatic Code 9857,.880,,,,,,N,33,,,,,,,ww,,,
,Asiatic Fusus,.830,,,,,,N,33,,,,,,,cream,,,
,Asiatic HVI-160,.890,,,,,,N,33,,,,,,,pale,,,
,Asiatic Spray Oil,.850,,,,,,N,33,,,,,,,cream,,,
,Banana Spray Oil,.850,,,,,,N,33,,,93,48,N,,w/crem/ple,,,
,Bottom Benzene,.900,,,,,,N,33,,,148,Y,Y,,pale,,,
,Burma Spindle Oil,.860,,,,,,N,33,,,,,N,N,light,,,
,Caltex Bright Stck 150,.890,,,,,,N,33,,,,,49,57,,,,
,Caltex Bright Stck 160,.900,,,,,,N,33,,,,,49,57,,,,
,Caltex Bright Stock,.890,,,,,,N,33,,,,,43,49,pale,,,
,Caltex Pale Oil 100,.890,,,,,,N,33,,,,,32,38,pale,,,
,Caltex Pale Oil 500 F,.890,,,,,,N,33,,,,,32,38,pale,,,
,Caltex Pale Oil 85/90,.910,,,,,,N,33,,,,,52,57,,,,
,Caltex Paramid 500,.880,,,,,,N,33,,,,,,,,,,
,Caltex Po 450,.880,,,,,,N,33,,,,,43,49,white,,,
,Caltex Po 475,.890,,,,,,N,33,,,,,120,125,or/ple,,,
,Caltex Po 700B,.820,,,,,,N,33,,,,,,,,,,
,Caltex Pob 175,.940,,,,,,N,33,,,,,49,54,ex.pale,,,
,Caltex Pob 250,.920,,,,,,N,33,,,,,60,66,green,,,
,Caltex Pob 400,.870,,,,,,N,33,,,,,N,N,white,,,
,Caltex Pob 450,.890,,,,,,N,33,,,,,38,54,,,,
,Caltex Pob 475,.890,,,,,,N,33,,,,,38,54,green,,,
,Caltex Pob 500,.860,,,,,,N,33,,,,,32,38,white,,,
,Caltex Pob 700,.880,,,,,,N,33,,,,,49,54,pale,,,
,Caltex Solvnt NTRL 150,.870,,,,,,N,33,,,,,,,,,,
,Caltex Solvnt NTRL 500,.880,,,,,,N,33,,,,,,,,,,
,Caltex Steam cyldr Oil,.960,,,,,,N,33,,,,,60,66,d.green,,,
,Chevron Rubr Prcss Oil,.940,,,,,,N,33,,,,,49,54,pale,,,
,Chevron Spray Oil,.850,,,,,,N,33,,,,,N,N,e.pale,,,
,Chevron 150 SN,.840,,,,,,N,33,,,,,N,N,,,,
,Chevron 160 B,.900,,,,,,N,33,,,,,49,57,,,,
,Chevron 500 SN,.880,,,,,,N,33,,,,,38,46,,,,
,Chevron 521 9/100 PALE,.940,,,,,,N,33,,,,,49,54,cream,,,
,Chevron 531 100 PALE,.920,,,,,,N,33,,,,,27,32,cream,,,
,Chevron 587 600 PL TRB,.890,,,,,,N,33,,,,,43,49,white,,,
,Chevron 600 C,.920,,,,,,N,33,,,,,57,66,,,,
,Chevron 7580 PALE,.930,,,,,,N,33,,,,,52,57,lemon,,,
,Chevron 78/96 TLA 300,.950,,,,,,N,33,,,,,49,66,,,,
,Chevron 80 SN,.840,,,,,,N,33,,,,,N,N,,,,
,Chevron 872 145 TRB PL,.870,,,,,,N,33,,,,,,,white,,,
,Exxon AV OIL 1100,.880,,,,,,N,33,,,,,49,54,lt.red,,,
,Exxon AV OIL 120,.880,,,,,,N,33,,,,,38,49,lt.red,,,
,Exxon AV OIL 2321,.890,,,,,,N,33,,,,,32,43,clear,,,
,Exxon BASE EXT LIGHT A,.880,,,,,,N,33,,,,,N,N,cream,,,
,Exxon BASE HEAVY C,.890,,,,,,N,33,,,,,43,49,d.red,,,
,Exxon BASE LIGHTA,..860,,,,,,N,33,,,,,N,N,cream,,,
,Exxon BASE LT SPECIAL A,.860,,,,,,N,33,,,,,N,N,cream,,,
,Exxon BASE MEDIUM B,.870,,,,,,N,33,,,,,16,27,ex.pale,,,
,Exxon BASE MEDIUM C,.880,,,,,,N,33,,,,,16,27,pale,,,
,Exxon BASE OIL 1394,.900,,,,,,N,33,,,,,38,49,light,,,
,Exxon BASE STOCK 3215,.940,,,,,,N,33,,,,,66,66,,,,
,Exxon BASE UNIVOLT 200,.910,,,,,,N,33,,,,,43,49,d.red,,,
,Exxon BRIGHT STOCK 150,.900,,,,,,N,33,,,,,57,57,d.red,,,
,Exxon CHATHUS 210,.920,,,,,,N,33,,,,,57,60,d.green,,,
,Exxon COBLAX 200,.960,,,,,,N,33,,,,,60,60,drk,,,
,Exxon COBLAX 85,.920,,,,,,N,33,,,,,57,57,blk,,,
,Exxon CORAY 200,.910,,,,,,N,33,,,,,38,49,lt.red,,,
,Exxon CORAY 37,.890,,,,,,N,33,,,,,N,N,white,,,
,Exxon CORAY 40,.890,,,,,,N,33,,,,,N,N,cream,,,
,Exxon CORAY 55,.910,,,,,,N,33,,,,,27,38,ex.pale,,,
,Exxon CORAY 65,.920,,,,,,N,33,,,,,32,38,ex.pale,,,
,Exxon CORAY 70,.910,,,,,,N,33,,,,,38,49,lemon-,,,
,Exxon CORAY 80,.910,,,,,,N,33,,,,,38,49,pale,,,
,Exxon CORAY 90 F 1520,.920,,,,,,N,33,,,,,38,49,orange,,,
,Exxon CORAY 90 JPALE,.920,,,,,,N,33,,,,,38,49,orange,,,
,Exxon CYL OIL,.930,,,,,,N,33,,,,,49,54,drk,,,
,Exxon CYL OIL 2619,.930,,,,,,N,33,,,,,71,71,drk,,,
,Exxon CYL OIL 2740,.930,,,,,,N,33,,,,,71,71,,,,
,Exxon CYLESSO 300,.920,,,,,,N,33,,,,,57,57,drk,,,
,Exxon CYLINDER OILS,.900,,,,,,N,33,,,,,38,38,drk,,,
,Exxon DIOL RD 80,.900,,,,,,N,33,,,,,38,38,d.red,,,
,Exxon ESSO 60 VISC 60,.910,,,,,,N,33,,,,,27,27,white,,,
,Exxon F 1273,.870,,,,,,N,33,,,,,27,32,white,,,
,Exxon F 1390,.890,,,,,,N,33,,,,,49,49,pale,,,
,Exxon F 1394,.900,,,,,,N,33,,,,,49,54,pale,,,
,Exxon F 1502,.900,,,,,,N,33,,,,,N,N,pale,,,
,Exxon F 1836,.870,,,,,,N,33,,,,,N,N,pale,,,
,Exxon F 2912,.840,,,,,,N,33,,,,,N,N,white,,,
,Exxon F 2961,.840,,,,,,N,33,,,,,N,N,white,,,
,Exxon F 2955,.840,,,,,,N,33,,,,,N,N,white,,,
,Exxon F 3261,.860,,,,,,N,33,,,,,27,32,white,,,
,Exxon  F 717,.880,,,,,,N,33,,,,,32,43,white,,,
,Exxon  F 872,.860,,,,,,N,33,,,,,N,N,white,,,
,Exxon FAXAM 35,.870,,,,,,N,33,,,,,N,N,cream,,,
,Exxon FAXAM 40,.880,,,,,,N,33,,,,,N,N,ex.pale,,,
,Exxon FAXAM 50,.900,,,,,,N,33,,,,,16,27,lem.pale,,,
,Exxon FLEXON 769,.880,,,,,,N,33,,,,,60,60,red,,,
,Exxon FROM 1836,.890,,,,,,N,33,,,,,N,N,white,,,
,Exxon F 1273 ALSO F 3261,.870,,,,,,N,33,,,,,27,32,cr.wht,,,
,Exxon F1380,.870,,,,,,N,33,,,,,27,32,white,,,
,Exxon F1509,.920,,,,,,N,33,,,,,41,41,red,,,
,Exxon F3215 PRCSS OIL,.920,,,,,,N,33,,,,,60,60,drk,,,
,Exxon F717,.880,,,,,,N,33,,,,,32,38,white,,,
,Exxon F872,.850,,,,,,N,33,,,,,N,N,white,,,
,Exxon HEAVY AXLE OIL,.970,,,,,,N,33,,,,,54,55,d.green,,,
,Exxon INSULATING OIL,.880,,,,,,N,33,,,,,N,N,clear ,,,
,Exxon LUBE 1288,.890,,,,,,N,33,,,,,38,38,or-ge,,,
,Exxon MEDIUM,.970,,,,,,N,33,,,,,54,54,d.green,,,
,Exxon MENTOR 28,.810,,,,,,N,33,,,,,N,N,white,,,
,Exxon MENTOR 32,.860,,,,,,N,33,,,,,N,N,light,,,
,Exxon NECTON 37,.870,,,,,,N,33,,,,,N,N,whitthish,,,
,Exxon NECTON 40,.880,,,,,,N,33,,,,,N,N,cream,,,
,Exxon NECTON 45,.890,,,,,,N,33,,,,,N,N,ex.pale,,,
,Exxon NECTON 60,.900,,,,,,N,33,,,,,27,38,lem-ple,,,
,Exxon NECTON 78,.900,,,,,,N,33,,,,,38,49,lem-ple,,,
,Exxon ORCHEX N790,.850,,,,,,N,33,,,,,N,N,white,,,
,Exxon RR DIESEL BASE,.890,,,,,,N,33,,,,,27,38,pale,,,
,Exxon RUBBER PRCSS OIL,.920,,,,,,N,33,,,,,38,43,pale,,,
,Exxon SAE 30 UNIVERSAL,.870,,,,,,N,33,,,,,27,38,lemon,,,
,Exxon SOLUBS,.890,,,,,,N,33,,,,,71,71,,,,
,Exxon SOLVENT BRIGHT ST,.890,,,,,,N,33,,,,,38,49,lt.red,,,
,Exxon SOLVENT BRIGHT,.900,,,,,,N,33,,,,,38,49,d.red,,,
,Exxon SPRAY OIL,.890,,,,,,N,33,,,,,N,N,ex.pale,,,
,Exxon STANCO BASE 100,,,,,,,,,,,,,,,,,,
,Exxon STANCO BASE 150,,,,,,,,,,,,,,,,,,
,Exxon STANCO BASE 600,,,,,,,,,,,,,,,,,,
,Exxon STANCO 2500BV,,,,,,,,,,,,,,,,,,
,Exxon STM RFND OIL 150,.970,,,,,,N,33,,,,,57,66,,,,
,Exxon STOCK 0025,.890,,,,,,N,33,,,,,N,N,lemon,,,
,Exxon STOCK 1102,.820,,,,,,N,33,,,,,38,38,,,,
,Exxon STOCK 1174,.860,,,,,,N,33,,,,,38,38,,,,
,Exxon STOCK 1177,.870,,,,,,N,33,,,,,54,54,,,,
,Exxon STOCK 1286,.870,,,,,,N,33,,,,,N,N,pale,,,
